================================================================================	
NTM copy task	
training up to 10000 iteration(s)	
min sequence length = 1	
max sequence length = 20	
================================================================================	
num params: 56094	
iter = 50	
loss = 38.843029191266	
iter = 100	
loss = 90.750433145334	
iter = 150	
loss = 113.83978786272	
iter = 200	
loss = 33.171386607556	
iter = 250	
loss = 11.586048288048	
iter = 300	
loss = 45.252922640396	
iter = 350	
loss = 93.550308253272	
iter = 400	
loss = 39.182666027029	
iter = 450	
loss = 111.14032530814	
iter = 500	
loss = 71.945483325861	
iter = 550	
loss = 43.832122822765	
iter = 600	
loss = 43.732777983664	
iter = 650	
loss = 31.754564901479	
iter = 700	
loss = 15.55132183261	
iter = 750	
loss = 51.89997314029	
iter = 800	
loss = 63.421363776711	
iter = 850	
loss = 81.876730500211	
iter = 900	
loss = 30.426807090784	
iter = 950	
loss = 21.513412594239	
iter = 1000	
loss = 64.865114360031	
iter = 1050	
loss = 28.360584651553	
iter = 1100	
loss = 16.665948459016	
iter = 1150	
loss = 103.38130360998	
iter = 1200	
loss = 4.0638159896589	
iter = 1250	
loss = 4.4311585613271	
iter = 1300	
loss = 11.184353592469	
iter = 1350	
loss = 8.939647525836	
iter = 1400	
loss = 6.056946597404	
iter = 1450	
loss = 280.57509346115	
iter = 1500	
loss = 2.9639232709979	
iter = 1550	
loss = 4.7211859453397	
iter = 1600	
loss = 0.8783735894345	
iter = 1650	
loss = 2.8660020558812	
iter = 1700	
loss = 1.3744041425257	
iter = 1750	
loss = 1.7279908537532	
iter = 1800	
loss = 1.3617328715585	
iter = 1850	
loss = 1.3594578013651	
iter = 1900	
loss = 1.4900855639981	
iter = 1950	
loss = 0.079251717773186	
iter = 2000	
loss = 0.82639008403529	
iter = 2050	
loss = 0.35681104879752	
iter = 2100	
loss = 0.23465100164721	
iter = 2150	
loss = 0.5766986098706	
iter = 2200	
loss = 0.23919100160543	
iter = 2250	
loss = 0.051167693638881	
iter = 2300	
loss = 0.090708990174807	
iter = 2350	
loss = 17.306259990253	
iter = 2400	
loss = 170.74515968554	
iter = 2450	
loss = 2.9309778972277	
iter = 2500	
loss = 7.1698954549951	
iter = 2550	
loss = 6.6759589399097	
iter = 2600	
loss = 78.478784056563	
iter = 2650	
loss = 33.806150272887	
iter = 2700	
loss = 61.898787358886	
iter = 2750	
loss = 173.51867295992	
iter = 2800	
loss = 2.1735978873122	
iter = 2850	
loss = 17.728848017121	
iter = 2900	
loss = 1.2692247775493	
iter = 2950	
loss = 0.52217185341989	
iter = 3000	
loss = 0.18834574987811	
iter = 3050	
loss = 1.4687905561585	
iter = 3100	
loss = 93.976053819265	
iter = 3150	
loss = 3.9313167447713	
iter = 3200	
loss = 0.16971401946198	
iter = 3250	
loss = 1.9538795830754	
iter = 3300	
loss = 1.9828973367305	
iter = 3350	
loss = 1.3076858782397	
iter = 3400	
loss = 0.96875963458073	
iter = 3450	
loss = 1.2321038617749	
iter = 3500	
loss = 0.27560907512571	
iter = 3550	
loss = 136.06569111838	
iter = 3600	
loss = 0.92499419490895	
iter = 3650	
loss = 0.414759860429	
iter = 3700	
loss = 0.46162450930103	
iter = 3750	
loss = 0.21148755003772	
iter = 3800	
loss = 37.097694546985	
iter = 3850	
loss = 98.518355695377	
iter = 3900	
loss = 0.064559370895683	
iter = 3950	
loss = 0.48504813532276	
iter = 4000	
loss = 35.06137759259	
iter = 4050	
loss = 28.420270637391	
iter = 4100	
loss = 93.193194036279	
iter = 4150	
loss = 73.308386136019	
iter = 4200	
loss = 50.426604010106	
iter = 4250	
loss = 0.7657394087951	
iter = 4300	
loss = 4.8293571848615	
iter = 4350	
loss = 5.270988191943	
iter = 4400	
loss = 6.9688449141517	
iter = 4450	
loss = 1.1871564971174	
iter = 4500	
loss = 0.36302859994357	
iter = 4550	
loss = 2.1064438142425	
iter = 4600	
loss = 2.4577296612629	
iter = 4650	
loss = 0.61929375515406	
iter = 4700	
loss = 87.015751147412	
iter = 4750	
loss = 125.39041632741	
iter = 4800	
loss = 111.04362177284	
iter = 4850	
loss = 2.8962838867896	
iter = 4900	
loss = 6.3102649071092	
iter = 4950	
loss = 0.5770699293789	
iter = 5000	
loss = 0.42895677405026	
iter = 5050	
loss = 1.0303756500858	
iter = 5100	
loss = 0.33377463994849	
iter = 5150	
loss = 0.69365155647317	
iter = 5200	
loss = 0.38005199057688	
iter = 5250	
loss = 0.056015939390942	
iter = 5300	
loss = 0.28191687060139	
iter = 5350	
loss = 0.20406608668766	
iter = 5400	
loss = 0.10749459324193	
iter = 5450	
loss = 0.10743832996719	
iter = 5500	
loss = 0.16059857294968	
iter = 5550	
loss = 0.032538960546752	
iter = 5600	
loss = 0.13224711420654	
iter = 5650	
loss = 0.016618817427792	
iter = 5700	
loss = 0.075371990106216	
iter = 5750	
loss = 0.057508336860538	
iter = 5800	
loss = 0.10287018574071	
iter = 5850	
loss = 0.037628063994632	
iter = 5900	
loss = 0.091019601297488	
iter = 5950	
loss = 0.10114605273649	
iter = 6000	
loss = 0.020009081599689	
iter = 6050	
