Iterations,LSTM loss,GRU loss
15500,12.4611815214,12.5011911392
16000,12.6881053448,11.8919633627
16500,12.2734144926,8.6930129528
17000,12.1429255009,10.4515688419
17500,11.7027019858,9.7226487398
18000,12.1592954397,2.8800136149
18500,10.768872261,0.8523853123
19000,12.3054542542,9.7253245115
19500,12.1439869404,1.3933369666
20000,12.9707477093,9.2113523483
20500,11.1342219114,0.8641061485
21000,10.7348531485,1.2240664661
21500,12.3650938272,16.0305627584
22000,12.9962413311,8.7148059607
22500,11.9029015303,7.8310672045
23000,12.3886204958,10.4758033752
23500,11.9688460231,6.4391371012
24000,12.5803081989,13.7037211657
24500,12.246286869,1.101221934
25000,12.3795747757,11.4301404953
25500,11.455734849,9.7018458843
26000,12.2221601009,9.9230852723
26500,12.737626791,12.8457559347
27000,12.13136518,12.6389375925
27500,11.1347360611,0.7227035463
28000,12.6827011108,9.5105298758
28500,10.9865641594,10.8113389537
29000,11.9410369396,11.234931156
29500,11.6686031222,7.8726013303
30000,11.4167826176,8.8256449699
30500,12.0402195454,10.3423759937
31000,12.4028346539,11.3519380689
31500,12.2575113773,11.4413961172
32000,12.6375441551,10.4418420196
32500,12.6210803986,11.9815633297
33000,11.9464123249,3.5745444149
33500,11.3561887741,4.3398187831
34000,12.9292621017,7.8333515525
34500,12.3574632406,11.7479246259
35000,11.5677161217,1.1031325161
35500,11.6941973567,12.5348938033
36000,11.7185483575,11.8169049621
36500,13.0489634871,9.5773862898
37000,11.007094115,1.2228018269
37500,12.9596258402,11.2366564274
38000,12.2974038124,10.6216939688
38500,12.7330492735,11.6958781481
39000,12.7471052408,8.3340038657
39500,11.768535614,9.4717628956
40000,12.5047557354,8.5619564056
40500,12.5503746271,11.5791851282
41000,11.4165300131,1.8316533957
41500,12.6953412294,12.1541855112
42000,12.407673955,0.8403220624
42500,12.0858189464,14.6858568788
43000,11.8636474609,0.7030160129
43500,12.3451560736,1.0343710184
44000,13.1669200659,10.2316827178
44500,12.7323287725,4.1485311687
45000,12.4508420229,10.1067540646
45500,10.2583646774,0.5806340799
46000,11.9491299391,9.7741558552
46500,11.3472847939,11.6302610636
47000,12.7093325853,10.2419786453
47500,11.8116400838,0.7721754089
