Select a Variant of NTM to run:  1. NTM_LSTM 2. NTM_LSTM_cuda 3. NTM_GRU 4. NTM_GRU_cuda torch.CudaTensor	
================================================================================	
NTM copy task	
training up to 5000 iteration(s)	
min sequence length = 1	
max sequence length = 10	
================================================================================	
num params: 56094	
iter = 50	
loss = 346.41654384136	
iter = 100	
loss = 379.73928531073	
iter = 150	
loss = 65.141693353653	
iter = 200	
loss = 361.54960642755	
iter = 250	
loss = 147.09941128548	
iter = 300	
loss = 674.27191080526	
iter = 350	
loss = 408.30575084873	
iter = 400	
loss = 555.59977743775	
iter = 450	
loss = 227.51297812816	
iter = 500	
loss = 54.878927620128	
iter = 550	
loss = 62.960519827902	
iter = 600	
loss = 36.108819965273	
iter = 650	
loss = 591.57561842352	
iter = 700	
loss = 149.16486388817	
iter = 750	
loss = 311.09354871325	
iter = 800	
loss = 109.33798937127	
iter = 850	
loss = 505.24745078944	
iter = 900	
loss = 548.80736619607	
iter = 950	
loss = 199.64823069237	
iter = 1000	
loss = 312.48649003729	
iter = 1050	
loss = 285.69462924078	
iter = 1100	
loss = 443.73260596767	
iter = 1150	
loss = 618.00638842396	
iter = 1200	
loss = 477.09464061819	
iter = 1250	
loss = 20.934375151992	
iter = 1300	
loss = 1063.2166092917	
iter = 1350	
loss = 230.21108134184	
iter = 1400	
loss = 322.48462324589	
iter = 1450	
loss = 43.213360475376	
iter = 1500	
loss = 56.137617200613	
iter = 1550	
loss = 369.84371172264	
iter = 1600	
loss = 687.63853569329	
iter = 1650	
loss = 500.80132401269	
iter = 1700	
loss = 284.80562419165	
iter = 1750	
loss = 228.83759047836	
iter = 1800	
loss = 28.974190160632	
iter = 1850	
loss = 981.3604052728	
iter = 1900	
loss = 333.35404895153	
iter = 1950	
loss = 261.8157484876	
iter = 2000	
loss = 62.115721231326	
iter = 2050	
loss = 763.820167467	
iter = 2100	
loss = 65.704026059248	
iter = 2150	
loss = 822.6176507473	
iter = 2200	
loss = 153.15211622044	
iter = 2250	
loss = 20.21190457046	
iter = 2300	
loss = 233.82249606494	
iter = 2350	
loss = 124.20940305293	
iter = 2400	
loss = 186.8752922751	
iter = 2450	
loss = 642.78130666446	
iter = 2500	
loss = 607.03628179431	
iter = 2550	
loss = 200.09761282895	
iter = 2600	
loss = 401.91719896346	
iter = 2650	
loss = 68.044123291969	
iter = 2700	
loss = 804.84978347644	
iter = 2750	
loss = 689.91109511629	
iter = 2800	
loss = 67.709377238527	
iter = 2850	
loss = 134.14725899324	
iter = 2900	
loss = 199.03291544132	
iter = 2950	
loss = 980.51169004478	
iter = 3000	
loss = 376.81450347416	
iter = 3050	
loss = 304.75660046656	
iter = 3100	
loss = 188.75704646483	
iter = 3150	
loss = 186.29371494986	
iter = 3200	
loss = 176.46193850785	
iter = 3250	
loss = 100.21780358814	
iter = 3300	
loss = 15.772769749165	
iter = 3350	
loss = 633.16241911054	
iter = 3400	
loss = 10.350401908159	
iter = 3450	
loss = 661.70270667598	
iter = 3500	
loss = 519.77012821287	
iter = 3550	
loss = 325.3571594134	
iter = 3600	
loss = 20.725537678227	
iter = 3650	
loss = 104.03586038388	
iter = 3700	
loss = 235.2753626816	
iter = 3750	
loss = 179.54195931787	
iter = 3800	
loss = 223.75140865333	
iter = 3850	
loss = 75.954826291651	
iter = 3900	
loss = 62.675791533664	
iter = 3950	
loss = 242.00952432957	
iter = 4000	
loss = 34.540940307081	
iter = 4050	
loss = 137.28807687759	
iter = 4100	
loss = 50.410500636324	
iter = 4150	
loss = 224.10917610675	
iter = 4200	
loss = 101.37483584974	
iter = 4250	
loss = 146.14805614203	
iter = 4300	
loss = 16.484635434113	
iter = 4350	
loss = 39.97459977027	
iter = 4400	
loss = 15.633155349642	
iter = 4450	
loss = 23.792552344501	
iter = 4500	
loss = 109.19490438979	
iter = 4550	
loss = 10.462846849114	
iter = 4600	
loss = 53.160038569011	
iter = 4650	
loss = 92.413383065723	
iter = 4700	
loss = 217.21314640716	
iter = 4750	
loss = 13.573794030584	
iter = 4800	
loss = 49.228685529204	
iter = 4850	
loss = 19.70752653107	
iter = 4900	
loss = 48.436927124858	
iter = 4950	
loss = 39.508095175028	
iter = 5000	
loss = 47.086674661608	
