Select a Variant of NTM to run:  1. NTM_LSTM 2. NTM_LSTM_cuda 3. NTM_GRU 4. NTM_GRU_cuda torch.CudaTensor	
================================================================================	
NTM copy task	
training up to 5000 iteration(s)	
min sequence length = 1	
max sequence length = 10	
================================================================================	
num params: 69594	
iter = 50	
loss = 347.42130403686	
iter = 100	
loss = 380.96974090859	
iter = 150	
loss = 62.640483863652	
iter = 200	
loss = 360.5963466391	
iter = 250	
loss = 145.80408021808	
iter = 300	
loss = 676.92648240738	
iter = 350	
loss = 407.97450044472	
iter = 400	
loss = 552.77570917644	
iter = 450	
loss = 229.0741924867	
iter = 500	
loss = 54.659536419436	
iter = 550	
loss = 63.574383096769	
iter = 600	
loss = 35.881163801998	
iter = 650	
loss = 591.31168287061	
iter = 700	
loss = 150.74061663635	
iter = 750	
loss = 311.7642041333	
iter = 800	
loss = 109.36733339354	
iter = 850	
loss = 504.79492406733	
iter = 900	
loss = 548.221873153	
iter = 950	
loss = 202.99411415868	
iter = 1000	
loss = 315.7190627344	
iter = 1050	
loss = 287.22940623946	
iter = 1100	
loss = 444.06256568804	
iter = 1150	
loss = 625.61365839653	
iter = 1200	
loss = 476.19537394121	
iter = 1250	
loss = 24.973311699927	
iter = 1300	
loss = 1066.594657138	
iter = 1350	
loss = 231.92430128157	
iter = 1400	
loss = 327.41553200223	
iter = 1450	
loss = 44.679553222843	
iter = 1500	
loss = 64.437544174492	
iter = 1550	
loss = 407.3091646973	
iter = 1600	
loss = 723.36408836674	
iter = 1650	
loss = 508.28760221601	
iter = 1700	
loss = 288.92817894556	
iter = 1750	
loss = 232.31946065556	
iter = 1800	
loss = 41.728104166687	
iter = 1850	
loss = 1012.4889638945	
iter = 1900	
loss = 339.75014890078	
iter = 1950	
loss = 290.03122582287	
iter = 2000	
loss = 64.909676775336	
iter = 2050	
loss = 780.72843918111	
iter = 2100	
loss = 70.139455758035	
iter = 2150	
loss = 849.14247075934	
iter = 2200	
loss = 163.98288836516	
iter = 2250	
loss = 24.692938551307	
iter = 2300	
loss = 242.60983223375	
iter = 2350	
loss = 150.46036238596	
iter = 2400	
loss = 199.48935442138	
iter = 2450	
loss = 672.85125949606	
iter = 2500	
loss = 630.17725794762	
iter = 2550	
loss = 213.73160403967	
iter = 2600	
loss = 427.30776943639	
iter = 2650	
loss = 74.385465733707	
iter = 2700	
loss = 833.47034191899	
iter = 2750	
loss = 715.51809568889	
iter = 2800	
loss = 87.449270550162	
iter = 2850	
loss = 153.47293530032	
iter = 2900	
loss = 223.04617527127	
iter = 2950	
loss = 1026.0303913187	
iter = 3000	
loss = 433.66612285189	
iter = 3050	
loss = 339.33425743692	
iter = 3100	
loss = 241.51861405186	
iter = 3150	
loss = 237.94752726052	
iter = 3200	
loss = 198.15004666522	
iter = 3250	
loss = 123.17510579526	
iter = 3300	
loss = 68.324327006936	
iter = 3350	
loss = 726.01443508407	
iter = 3400	
loss = 17.943049356341	
iter = 3450	
loss = 746.42856906913	
iter = 3500	
loss = 536.98160218634	
iter = 3550	
loss = 343.74444345385	
iter = 3600	
loss = 78.381622519344	
iter = 3650	
loss = 356.97427893616	
iter = 3700	
loss = 532.45766303875	
iter = 3750	
loss = 507.39497278817	
iter = 3800	
loss = 482.16741351783	
iter = 3850	
loss = 304.31605965178	
iter = 3900	
loss = 299.95256945677	
iter = 3950	
loss = 945.03932221979	
iter = 4000	
loss = 104.63509236276	
iter = 4050	
loss = 293.692658199	
iter = 4100	
loss = 217.47215754166	
iter = 4150	
loss = 699.66176494211	
iter = 4200	
loss = 319.40291512758	
iter = 4250	
loss = 124.74715648592	
iter = 4300	
loss = 60.406451746821	
iter = 4350	
loss = 48.586873687804	
iter = 4400	
loss = 52.320185780525	
iter = 4450	
loss = 201.56289022416	
iter = 4500	
loss = 453.66174422204	
iter = 4550	
loss = 19.068980500102	
iter = 4600	
loss = 352.39005928114	
iter = 4650	
loss = 423.77242078446	
iter = 4700	
loss = 994.6309994515	
iter = 4750	
loss = 111.2269211337	
iter = 4800	
loss = 316.36229923181	
iter = 4850	
loss = 71.024556018412	
iter = 4900	
loss = 156.92563664913	
iter = 4950	
loss = 292.82683065627	
iter = 5000	
loss = 441.39028589055	
